repo_name,repo_url
terraform-aws-consul-ecs,https://github.com/hashicorp/terraform-aws-consul-ecs
terraform-aws-consul-enterprise-hvd,https://github.com/hashicorp/terraform-aws-consul-enterprise-hvd
terraform-aws-consul-lambda,https://github.com/hashicorp/terraform-aws-consul-lambda
terraform-aws-ecs-advanced-microservice,https://github.com/hashicorp/terraform-aws-ecs-advanced-microservice
terraform-aws-example-microservice-ecs-allenvs,https://github.com/hashicorp/terraform-aws-example-microservice-ecs-allenvs
terraform-aws-hashicorp-consul-eks-addon,https://github.com/hashicorp/terraform-aws-hashicorp-consul-eks-addon
terraform-aws-hashicorp-vault-eks-addon,https://github.com/hashicorp/terraform-aws-hashicorp-vault-eks-addon
terraform-aws-hcp-consul,https://github.com/hashicorp/terraform-aws-hcp-consul
terraform-aws-module-installer-acctest,https://github.com/hashicorp/terraform-aws-module-installer-acctest
terraform-aws-nomad-starter,https://github.com/hashicorp/terraform-aws-nomad-starter
terraform-aws-security-group,https://github.com/hashicorp/terraform-aws-security-group
terraform-aws-terraform-enterprise,https://github.com/hashicorp/terraform-aws-terraform-enterprise
terraform-aws-terraform-enterprise-eks-hvd,https://github.com/hashicorp/terraform-aws-terraform-enterprise-eks-hvd
terraform-aws-terraform-enterprise-hvd,https://github.com/hashicorp/terraform-aws-terraform-enterprise-hvd
terraform-aws-vault-enterprise-hvd,https://github.com/hashicorp/terraform-aws-vault-enterprise-hvd
terraform-aws-vpc,https://github.com/hashicorp/terraform-aws-vpc
